ID_Espai,Nom_Espai,Nom_Distri,C_Distri,Nom_Barri,C_Barri,Fase,Àrea,Mes,N_visites,Exc,B_dom,B_ind,Vol
1,"Carrer de Josep Anselm Clavé, 2",Ciutat Vella,1,el Barri Gòtic,2,Fase 1 i 2,809.97,2,1,0,1,0,0
2,"Carrer de la Maquinista, 40",Ciutat Vella,1,la Barceloneta,3,Fase 1,1015.35,2,1,0,0,0,0
3,"Carrer de les Carretes, 47",Ciutat Vella,1,el Raval,1,Fase 1 i 2,208.51,2,1,0,1,0,0
4,"Carrer de Sant Pere Mitjà, 88",Ciutat Vella,1,Sant Pere Santa Caterina i la Ribera,4,Fase 1,267.8,2,1,0,1,0,0
5,"Carrer de Sant Rafael, 38 (Pista Negra)",Ciutat Vella,1,el Raval,1,Fase 1 i 2,272.65,2,1,0,2,0,2
6,Carrer dels Escudellers (Passatge del Rellotge),Ciutat Vella,1,el Barri Gòtic,2,Fase 1,223.98,2,1,0,1,0,0
7,Carrer Floridablanca,Eixample,2,Sant Antoni,10,Fase 1,3900.86,2,3,0.49,2.67,2.33,0
8,Jardins de Montserrat Roig,Eixample,2,la Sagrada Família,6,Fase 1 i 2,3034.5,2,3,1.88,0.67,0,0
9,Jardins de Sebastià Gasch,Eixample,2,la Nova Esquerra de l'Eixample,9,Fase 1 i 2,1931.38,2,3,5.33,0.67,0,0
10,Passatge Utset,Eixample,2,la Sagrada Família,6,Fase 1,687.66,2,3,0.15,1.33,0,0
11,Passatge Vilaret,Eixample,2,la Sagrada Família,6,Fase 1 i 2,1733.89,2,3,1.5,0.67,0,0.67
12,Voltants del Mercat de Sant Antoni,Eixample,2,Sant Antoni,10,Fase 1 i 2,19357.55,2,3,0.19,1.33,0,0
13,Carrer 26 de Gener de 1641,Sants-Montjuïc,3,Hostafrancs,15,Fase 1,1132.9,2,3,1.5,2.67,0.33,1.67
14,Carrer d'Elkano,Sants-Montjuïc,3,el Poble Sec,11,Fase 1,3996.56,2,3,1.4,5,2.67,0.33
15,Plaça de la Bella Dorita,Sants-Montjuïc,3,el Poble Sec,11,Fase 1 i 2,2551.37,2,4,0.24,0,0,0
16,Plaça de la Marina de Sants,Sants-Montjuïc,3,la Marina de Port,13,Fase 1 i 2,4777.47,2,3,0.86,2,0,0
17,Plaça de l'Olivereta,Sants-Montjuïc,3,Sants - Badal,17,Fase 1 i 2,8078.84,2,3,0.33,0.33,0,0.67
18,Plaça de Santa Madrona,Sants-Montjuïc,3,el Poble Sec,11,Fase 1 i 2,1360.92,2,3,0.96,0.33,0,0
19,Carrer Guitard,Les Corts,4,les Corts,19,Fase 1,2939.53,2,3,0.17,9,0.67,0
20,Jardins de Bacardí,Les Corts,4,la Maternitat i Sant Ramon,20,Fase 1 i 2,7636.62,2,3,0.82,0.33,0,0
21,Jardins de Can Cuiàs,Les Corts,4,les Corts,19,Fase 1 i 2,5061.68,2,3,0.47,0.67,0,0
22,Jardins de Joan Altisent,Les Corts,4,les Corts,19,Fase 1,2615.72,2,3,2.68,0.67,0.67,0
23,Jardins de Josep Munté,Les Corts,4,la Maternitat i Sant Ramon,20,Fase 1 i 2,5848.51,2,3,0.74,0.67,0,0
24,Jardins del Clot d'en Salvi,Les Corts,4,la Maternitat i Sant Ramon,20,Fase 1,1924.65,2,3,0.78,0,0,0
25,Carrer d'Hurtado,Sarrià-Sant Gervasi,5,el Putxet i el Farró,27,Fase 1,1098.88,2,2,1.18,0.5,0,0
